Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,14.52,11.44,0.0,0.0,0.0,0.0,0.0,45.98,347.05,179.08,156.42,40.04,133.65,162.25,27.83,25.96,1092.3
1,0.0,14.52,10.12,0.0,0.0,0.0,0.0,0.0,40.7,328.9,173.25,158.07,41.69,136.84,171.71,29.15,24.64,1080.31
2,0.0,14.52,10.12,0.0,0.0,0.0,0.0,0.0,38.06,311.19,166.21,156.42,43.34,140.03,181.39,30.47,24.64,1067.11
3,0.0,12.87,10.12,0.0,0.0,0.0,0.0,0.0,35.42,293.37,160.71,156.42,44.99,143.33,189.53,31.79,22.99,1055.56
4,0.0,12.87,10.12,0.0,0.0,0.0,0.0,0.0,32.78,277.42,155.21,154.88,46.75,144.87,197.56,33.11,22.99,1042.58
5,0.0,12.87,8.8,0.0,0.0,0.0,0.0,0.0,31.46,261.8,149.6,154.88,48.4,148.06,205.59,37.18,21.67,1036.97
6,0.0,12.87,8.8,0.0,0.0,0.0,0.0,0.0,30.14,248.05,145.53,154.88,50.05,151.25,215.27,39.82,21.67,1034.99
7,0.0,11.22,8.8,0.0,0.0,0.0,0.0,0.0,28.82,234.3,141.35,154.88,50.05,154.44,221.76,43.78,20.02,1029.38
8,0.0,11.22,8.8,0.0,0.0,0.0,0.0,0.0,27.61,220.55,135.85,154.88,53.35,156.09,229.79,47.74,20.02,1025.86
9,0.0,11.22,8.8,0.0,0.0,0.0,0.0,0.0,27.61,208.23,130.35,154.88,53.35,159.28,236.28,51.7,20.02,1021.68
10,0.0,11.22,8.8,0.0,0.0,0.0,0.0,0.0,26.29,194.15,124.85,153.23,55.11,160.93,244.42,55.77,20.02,1014.75
11,0.0,11.22,7.59,0.0,0.0,0.0,0.0,0.0,24.97,180.07,120.67,150.04,56.76,162.47,249.26,60.06,18.81,1004.3
12,0.0,11.22,7.59,0.0,0.0,0.0,0.0,0.0,23.65,169.62,115.17,148.5,58.41,164.12,255.75,64.35,18.81,999.57
13,0.0,9.68,7.59,0.0,0.0,0.0,0.0,0.0,23.65,158.51,109.67,146.85,58.41,165.66,262.24,68.64,17.27,993.63
14,0.0,9.68,7.59,0.0,0.0,0.0,0.0,0.0,22.33,147.4,102.74,143.66,60.17,167.31,268.73,72.93,17.27,985.27
15,0.0,9.68,7.59,0.0,0.0,0.0,0.0,0.0,21.01,137.83,97.24,142.12,60.17,168.96,275.22,77.22,17.27,979.77
16,0.0,9.68,7.59,0.0,0.0,0.0,0.0,0.0,19.69,129.91,91.63,138.93,61.82,170.61,280.17,80.08,17.27,972.84
17,0.0,9.68,7.59,0.0,0.0,0.0,0.0,0.0,19.69,121.99,87.56,137.28,63.58,170.61,285.34,82.94,17.27,968.99
18,0.0,9.68,6.27,0.0,0.0,0.0,0.0,0.0,18.37,117.26,83.38,135.74,63.58,172.37,290.51,84.37,15.95,965.58
