Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,2.75,0.0,7.81,4.73,27.83,51.48,114.95,388.3,139.81,205.04,102.19,28.16,64.13,84.92,9.57,209.55,1022.12
1,0.0,0.0,0.0,6.49,3.08,12.32,35.42,44.0,400.62,147.29,221.21,110.99,32.89,73.15,95.04,13.42,101.31,1094.61
2,0.0,0.0,0.0,3.85,0.0,6.16,16.06,17.6,406.78,151.03,229.68,119.9,37.62,77.66,105.16,15.29,43.67,1143.12
3,0.0,0.0,0.0,3.85,0.0,0.0,6.38,0.0,409.86,152.79,236.06,125.84,42.35,84.48,111.87,17.27,10.23,1180.52
4,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,403.7,154.66,238.15,134.75,44.66,86.68,118.58,19.14,3.85,1200.32
5,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,397.54,154.66,236.06,140.69,47.08,91.19,125.29,19.14,2.53,1211.65
6,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,385.22,154.66,231.77,143.66,49.39,95.81,128.7,21.12,2.53,1210.33
7,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,370.04,151.03,225.39,149.6,49.39,98.01,132.0,21.12,2.53,1196.58
8,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,348.7,147.29,216.59,155.54,51.81,100.32,132.0,22.99,2.53,1175.24
9,5.06,0.0,0.0,2.53,0.0,0.0,0.0,0.0,324.28,141.68,205.04,158.51,51.81,102.52,135.41,22.99,7.59,1142.24
10,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,299.53,134.2,193.6,164.45,51.81,104.83,135.41,22.99,2.53,1106.82
11,5.06,0.0,0.0,2.53,0.0,0.0,0.0,0.0,274.78,126.83,182.16,167.53,54.12,107.03,138.71,22.99,7.59,1074.15
12,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.06,117.48,170.61,170.17,54.12,109.34,145.42,24.97,5.06,1039.17
13,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.42,108.46,159.28,175.56,56.54,111.65,148.83,24.97,5.06,1007.71
14,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.33,99.44,147.95,180.95,56.54,116.6,158.84,26.84,5.06,985.49
15,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.13,90.53,136.51,183.7,58.85,121.55,165.55,26.84,5.06,957.66
16,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.26,79.75,122.98,189.09,58.85,126.5,175.45,28.82,5.06,931.7
17,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.39,68.97,111.65,194.48,61.16,131.45,185.24,30.69,5.06,910.03
18,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,60.06,99.33,199.87,61.16,136.4,195.03,32.67,5.06,889.02
