Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,2.75,0.0,0.0,0.0,70.4,203.94,163.35,591.69,128.7,113.85,6.93,0.0,11.44,0.0,0.0,440.44,852.61
1,0.0,0.0,0.0,0.0,0.0,61.6,170.39,114.95,554.95,184.58,147.95,9.35,0.0,16.06,0.0,0.0,346.94,912.89
2,0.0,0.0,0.0,0.0,0.0,46.42,142.01,88.99,506.0,233.2,170.61,21.01,4.62,20.57,0.0,0.0,277.42,956.01
3,0.0,0.0,0.0,0.0,0.0,33.99,106.48,73.04,479.6,278.52,195.91,56.21,9.35,45.87,0.0,5.72,213.51,1071.18
4,0.0,0.0,0.0,0.0,0.0,18.59,54.67,44.0,463.32,294.03,214.28,73.15,9.35,73.15,0.0,7.59,117.26,1134.87
5,0.0,0.0,0.0,0.0,0.0,0.0,9.57,0.0,453.64,296.01,225.39,87.67,9.35,91.19,0.0,9.57,9.57,1172.82
6,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,447.15,296.01,236.06,93.5,9.35,102.52,0.0,11.44,2.75,1196.03
7,0.0,0.0,0.0,0.0,0.0,6.16,0.0,0.0,440.77,290.18,244.53,96.36,9.35,104.83,0.0,11.44,6.16,1197.46
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.61,282.37,250.91,93.5,9.35,107.03,0.0,13.42,0.0,1191.19
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.29,270.93,253.0,93.5,11.77,107.03,4.95,15.29,0.0,1178.76
10,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,406.78,259.6,250.91,93.5,9.35,107.03,10.01,17.27,2.75,1154.45
11,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,388.3,248.27,246.62,93.5,9.35,109.34,12.54,19.14,2.75,1127.06
12,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,366.96,237.05,240.24,99.33,11.77,111.65,17.6,19.14,2.75,1103.74
13,5.06,2.75,0.0,0.0,0.0,0.0,0.0,0.0,339.68,227.59,227.48,105.16,11.77,116.6,20.13,21.12,7.81,1069.53
