Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,7.26,7.37,6.27,16.94,20.79,39.6,358.05,262.9,244.2,108.24,41.03,45.54,48.07,4.51,98.23,1112.54
1,0.0,4.4,7.26,4.95,4.18,9.68,11.33,24.09,355.74,265.76,244.2,110.66,43.45,51.04,54.34,6.71,65.89,1131.9
2,0.0,0.0,5.5,4.95,0.0,4.84,3.74,6.82,351.12,262.9,241.12,115.72,45.87,54.67,58.63,9.02,25.85,1139.05
3,0.0,4.4,5.5,0.0,0.0,0.0,0.0,0.0,346.5,260.15,235.18,115.72,48.29,56.54,62.81,11.22,9.9,1136.41
4,0.0,4.4,5.5,0.0,0.0,0.0,0.0,0.0,341.88,254.43,232.21,115.72,50.71,58.74,64.9,11.22,9.9,1129.81
5,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,332.86,248.82,223.19,115.72,53.13,61.05,66.99,13.53,7.26,1115.29
6,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,324.06,243.1,217.03,118.36,53.13,63.36,66.99,15.73,5.5,1101.76
7,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,306.46,231.77,204.93,121.0,55.55,65.67,71.17,15.73,7.26,1072.28
8,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,286.66,223.3,192.72,126.28,57.97,70.29,73.26,15.73,7.26,1046.21
9,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,269.83,211.86,180.51,131.56,57.97,74.91,75.35,18.04,7.26,1020.03
10,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,251.9,200.42,168.3,136.84,60.39,81.73,77.44,20.35,5.5,997.37
11,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,235.95,188.98,159.28,142.23,60.39,86.35,79.53,20.35,7.26,973.06
12,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,221.98,177.54,150.15,147.51,62.81,90.97,83.71,22.55,5.5,957.22
13,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,209.99,168.96,144.1,150.15,65.34,95.48,87.89,24.86,7.26,946.77
14,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,199.98,163.46,138.05,152.79,65.34,97.79,92.07,24.86,5.5,934.34
15,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,191.95,155.87,135.08,158.07,67.76,102.41,94.16,27.06,5.5,932.36
16,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,182.05,150.7,129.03,160.71,70.18,104.72,98.34,27.06,5.5,922.79
